Name,Duration,P_Com,Start,Finish,B_Start,B_Finish,A_Start,A_Finish,S_Task,
Launch,2 days,1,03/04/20 08:00 AM,03/05/20 05:00 PM,03/04/20 08:00 AM,03/05/20 05:00 PM,03/04/20 08:00 AM,03/05/20 05:00 PM,,
Puchase of HW/SW for Customer requirements,78 days,1,05/20/19 08:00 AM,09/04/19 05:00 PM,05/20/19 08:00 AM,09/04/19 05:00 PM,,09/04/19 05:00 PM,1,
Procurement sample,78 days,1,05/20/19 08:00 AM,09/04/19 05:00 PM,05/20/19 08:00 AM,09/04/19 05:00 PM,,09/04/19 05:00 PM,1,
BOM Preparation,3 days,1,05/20/19 08:00 AM,05/22/19 05:00 PM,05/20/19 08:00 AM,05/22/19 05:00 PM,05/20/19 08:00 AM,05/22/19 05:00 PM,,
CAPEX Allocation & Reservation,3 days,1,05/23/19 08:00 AM,05/27/19 05:00 PM,05/23/19 08:00 AM,05/27/19 05:00 PM,05/23/19 08:00 AM,05/27/19 05:00 PM,,
PR Initiation,4 days,1,05/28/19 08:00 AM,05/31/19 05:00 PM,05/28/19 08:00 AM,05/31/19 05:00 PM,05/28/19 08:00 AM,05/31/19 05:00 PM,,
LOI Issuance,6 days,1,06/03/19 08:00 AM,06/10/19 05:00 PM,06/03/19 08:00 AM,06/10/19 05:00 PM,06/03/19 08:00 AM,06/10/19 05:00 PM,,
Addendum Preparartion & Signing,11 days,1,06/11/19 08:00 AM,06/25/19 05:00 PM,06/11/19 08:00 AM,06/25/19 05:00 PM,06/11/19 08:00 AM,06/25/19 05:00 PM,,
PO Issuance,6 days,1,06/26/19 08:00 AM,07/03/19 05:00 PM,06/26/19 08:00 AM,07/03/19 05:00 PM,06/26/19 08:00 AM,07/03/19 05:00 PM,,
Delivery,34 days,1,07/04/19 08:00 AM,08/20/19 05:00 PM,07/04/19 08:00 AM,08/20/19 05:00 PM,,08/20/19 05:00 PM,1,
Obtain DD Aprovals,3 days,1,07/04/19 08:00 AM,07/08/19 05:00 PM,07/04/19 08:00 AM,07/08/19 05:00 PM,07/04/19 08:00 AM,07/08/19 05:00 PM,,
Site Delivery (DD),31 days,1,07/04/19 08:00 AM,08/15/19 05:00 PM,07/04/19 08:00 AM,08/15/19 05:00 PM,07/04/19 08:00 AM,08/15/19 05:00 PM,,
GRN Issuance,3 days,1,08/16/19 08:00 AM,08/20/19 05:00 PM,08/16/19 08:00 AM,08/20/19 05:00 PM,08/16/19 08:00 AM,08/20/19 05:00 PM,,
Acceptance,11 days,1,08/21/19 08:00 AM,09/04/19 05:00 PM,08/21/19 08:00 AM,09/04/19 05:00 PM,,09/04/19 05:00 PM,1,
Installation,9 days,1,08/21/19 08:00 AM,09/02/19 05:00 PM,08/21/19 08:00 AM,09/02/19 05:00 PM,08/21/19 08:00 AM,09/02/19 05:00 PM,,
PAC Issuance,2 days,1,09/03/19 08:00 AM,09/04/19 05:00 PM,09/03/19 08:00 AM,09/04/19 05:00 PM,09/03/19 08:00 AM,09/04/19 05:00 PM,,
