Name,Duration,P_Com,Start,Finish,B_Start,B_Finish,A_Start,A_Finish,S_Task,
Procurement,191 days,0.624242424242424,10/2/20 8:00 AM,6/25/21 5:00 PM,8/18/20 9:30 PM,8/19/20 6:30 AM,,,1,
Requirement/Specifications,31 days,1,10/8/20 8:00 AM,11/19/20 5:00 PM,8/19/20 3:00 AM,9/26/20 3:00 AM,10/8/20 8:00 AM,11/19/20 5:00 PM,,
Tendering,150 days,0.774193548387097,10/2/20 8:00 AM,4/29/21 5:00 PM,8/18/20 9:30 PM,8/19/20 6:30 AM,,,1,
Tender Document preparation,4 days,1,11/20/20 8:00 AM,11/25/20 5:00 PM,9/30/20 3:00 AM,10/1/20 10:30 PM,11/20/20 8:00 AM,11/25/20 5:00 PM,,
Sole Source Approval,4 days,1,11/20/20 8:00 AM,11/25/20 5:00 PM,8/19/20 3:00 AM,8/20/20 10:30 PM,11/20/20 8:00 AM,11/25/20 5:00 PM,,
SSET Appointment,6 days,1,10/2/20 8:00 AM,10/9/20 5:00 PM,8/19/20 3:00 AM,8/22/20 3:00 AM,10/2/20 8:00 AM,10/9/20 5:00 PM,,
PR ,4 days,1,1/11/21 8:00 AM,1/14/21 5:00 PM,10/6/20 3:00 AM,10/6/20 10:30 PM,1/11/21 8:00 AM,1/14/21 5:00 PM,,
Tender lead,6 days,1,1/15/21 8:00 AM,1/22/21 5:00 PM,10/8/20 3:00 AM,10/13/20 10:30 PM,1/15/21 8:00 AM,1/22/21 5:00 PM,,
Tendering,11 days,1,1/25/21 8:00 AM,2/8/21 5:00 PM,10/15/20 3:00 AM,10/27/20 10:30 PM,1/25/21 8:00 AM,2/8/21 5:00 PM,,
TET Evaluation,16 days,1,2/9/21 8:00 AM,3/2/21 5:00 PM,10/29/20 3:00 AM,11/17/20 10:30 PM,2/9/21 8:00 AM,3/2/21 5:00 PM,,
CET Evaluation,21 days,1,3/3/21 8:00 AM,3/31/21 5:00 PM,11/19/20 3:00 AM,12/15/20 10:30 PM,3/3/21 8:00 AM,3/31/21 5:00 PM,,
Tender Approval,21 days,0,4/1/21 8:00 AM,4/29/21 5:00 PM,12/17/20 11:00 AM,1/13/21 6:30 AM,,,,
LOI,4 days,0,4/30/21 8:00 AM,5/5/21 5:00 PM,1/14/21 11:00 AM,1/16/21 6:30 AM,,,,
Contract preparation,31 days,0,5/6/21 8:00 AM,6/17/21 5:00 PM,1/19/21 11:00 AM,2/27/21 6:30 AM,,,,
Contract sign,6 days,0,6/18/21 8:00 AM,6/25/21 5:00 PM,3/2/21 11:00 AM,3/6/21 6:30 AM,,,,
7. International Voice Quality Tester,183 days,0.8095,10/8/20 8:00 AM,6/21/21 5:00 PM,8/18/20 9:30 PM,8/19/20 6:30 AM,,,1,
Procurement,183 days,0.8095,10/8/20 8:00 AM,6/21/21 5:00 PM,8/18/20 9:30 PM,8/19/20 6:30 AM,,,1,
Requirement/Specifications,41 days,1,10/8/20 8:00 AM,12/3/20 5:00 PM,8/19/20 3:00 AM,10/10/20 3:00 AM,10/8/20 8:00 AM,12/3/20 5:00 PM,,
Tendering,142 days,1,10/8/20 8:00 AM,4/23/21 5:00 PM,8/18/20 9:30 PM,8/19/20 6:30 AM,,4/23/21 5:00 PM,1,
Tender Document preparation,4 days,1,12/4/20 8:00 AM,12/9/20 5:00 PM,10/14/20 3:00 AM,10/15/20 10:30 PM,12/4/20 8:00 AM,12/9/20 5:00 PM,,
Sole Source Approval,4 days,1,10/8/20 8:00 AM,10/13/20 5:00 PM,8/19/20 3:00 AM,8/20/20 10:30 PM,10/8/20 8:00 AM,10/13/20 5:00 PM,,
SSET Appointment,6 days,1,10/8/20 8:00 AM,10/15/20 5:00 PM,8/19/20 3:00 AM,8/22/20 3:00 AM,10/8/20 8:00 AM,10/15/20 5:00 PM,,
PR ,4 days,1,12/10/20 8:00 AM,12/15/20 5:00 PM,10/20/20 3:00 AM,10/20/20 10:30 PM,12/10/20 8:00 AM,12/15/20 5:00 PM,,
Tender lead,6 days,1,1/11/21 8:00 AM,1/18/21 5:00 PM,10/22/20 3:00 AM,10/27/20 10:30 PM,1/11/21 8:00 AM,1/18/21 5:00 PM,,
Tendering,11 days,1,1/19/21 8:00 AM,2/2/21 5:00 PM,10/29/20 3:00 AM,11/10/20 10:30 PM,1/19/21 8:00 AM,2/2/21 5:00 PM,,
TET Evaluation,16 days,1,2/3/21 8:00 AM,2/24/21 5:00 PM,11/12/20 3:00 AM,12/1/20 10:30 PM,2/3/21 8:00 AM,2/24/21 5:00 PM,,
CET Evaluation,21 days,1,2/25/21 8:00 AM,3/25/21 5:00 PM,12/3/20 3:00 AM,12/29/20 10:30 PM,2/25/21 8:00 AM,3/25/21 5:00 PM,,
Tender Approval,21 days,1,3/26/21 8:00 AM,4/23/21 5:00 PM,12/31/20 3:00 AM,1/26/21 10:30 PM,3/26/21 8:00 AM,4/23/21 5:00 PM,,
LOI,4 days,1,4/26/21 8:00 AM,4/29/21 5:00 PM,1/28/21 3:00 AM,1/29/21 10:30 PM,4/26/21 8:00 AM,4/29/21 5:00 PM,,
Contract preparation,31 days,0.118145161290323,4/30/21 8:00 AM,6/11/21 5:00 PM,2/2/21 3:00 AM,3/12/21 10:30 PM,,,,
Contract sign,6 days,0,6/14/21 8:00 AM,6/21/21 5:00 PM,3/16/21 11:00 AM,3/20/21 6:30 AM,,,,
Governance G4-G5,12 days,0,10/12/22 8:00 AM,10/27/22 5:00 PM,6/21/22 11:00 AM,7/2/22 6:30 AM,,,,
Governance G6,181 days,0,10/28/22 8:00 AM,7/7/23 5:00 PM,7/5/22 11:00 AM,3/11/23 6:30 AM,,,1,
